post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
165592490.197-the-artist-vs-the-algorithm,2025-06-10T10:12:17.496Z,true,2025-06-10T10:12:17.644Z,2025-06-10T10:12:17.644Z,newsletter,everyone,197: The Artist vs The Algorithm,"Culture, Control, and the Battle for Public Imagination",
165459927.196-jailbreaking-tesla,2025-06-08T10:14:33.102Z,true,2025-06-08T10:14:33.205Z,2025-06-08T10:14:33.205Z,newsletter,everyone,196: Jailbreaking Tesla,The Autonomous Revolution After Musk,
165402668.195-the-great-trump-depression-and,2025-06-07T11:23:00.562Z,true,2025-06-07T11:23:00.662Z,2025-06-07T11:23:00.662Z,newsletter,everyone,195: The Great Trump Depression and the End of Money,A dispatch from the future on the ontological paradox of money,
165134824.194-ten-year-metaviews-literacy-report,2025-06-04T10:20:33.323Z,true,2025-06-04T10:20:33.449Z,2025-06-04T10:20:33.449Z,newsletter,everyone,194: Ten Year Metaviews Literacy Report,For Metaviews Stakeholders,
165054447.193-mock-the-troll-lose-the-authority,2025-06-03T10:20:12.359Z,true,2025-06-03T10:20:12.487Z,2025-06-03T10:20:12.487Z,newsletter,everyone,"193: Mock the Troll, Lose the Authority",From Shitposts to State Power,
164970137.192-are-states-losing-their-monopoly,2025-06-02T10:20:30.309Z,true,2025-06-02T10:20:30.747Z,2025-06-02T10:20:30.747Z,newsletter,everyone,192: Are States Losing Their Monopoly on Force?,Ukraine’s Operation Spiderweb and the fragmentation of authority in the age of networks.,
164839077.191-the-end-of-netanyahu,2025-05-31T10:20:22.391Z,true,2025-05-31T10:20:22.517Z,2025-05-31T10:20:22.517Z,newsletter,everyone,191: The End of Netanyahu,"Statement from the 2030 truth commission that confronts the crimes that shattered Israel, Palestine, and global order.",
164717712.190-libidinal-loneliness-and-the,2025-05-29T11:50:45.734Z,true,2025-05-29T11:50:45.831Z,2025-05-29T11:50:45.831Z,newsletter,everyone,190: Libidinal Loneliness and the Machinery of Misogyny,A case file from the unconscious of a movement that loves you only when you're in pain.,
164636057.189-a-letter-from-the-future-how,2025-05-28T11:20:47.026Z,true,2025-05-28T11:20:47.115Z,2025-05-28T11:20:47.115Z,newsletter,everyone,189: A Letter from the Future: How We Won,"Dispatch from a world built on solidarity, not scapegoats",
164550041.188-harvesting-lies,2025-05-27T11:03:04.497Z,true,2025-05-27T11:03:04.622Z,2025-05-27T11:03:04.622Z,newsletter,everyone,188: Harvesting Lies,"Disinformation, Food Security, and the Battle for Agricultural Truth in a Fractured Canada",
164473162.187-a-pedagogy-of-networks,2025-05-26T11:41:20.459Z,true,2025-05-26T11:41:20.530Z,2025-05-26T11:41:20.530Z,newsletter,everyone,187: A Pedagogy of Networks,"Learning, Copyright, and Resistance in the Age of AI",
164204434.186-as-if-the-earth-were-not-burning,2025-05-23T10:17:16.651Z,true,2025-05-23T10:17:16.755Z,2025-05-23T10:17:16.755Z,newsletter,everyone,186: As If the Earth Were Not Burning,The Ecology of Denial,
164152099.185-dead-drops-in-the-chatbox,2025-05-22T11:32:57.547Z,true,2025-05-22T11:32:57.634Z,2025-05-22T11:32:57.634Z,newsletter,everyone,185: Dead Drops in the Chatbox,"Spycraft, smuggling, sabotage—encoded not in ciphertext, but in small talk.",
164074515.184-emotion-is-not-a-glitch,2025-05-21T11:24:29.922Z,true,2025-05-21T11:24:30.024Z,2025-05-21T11:24:30.024Z,newsletter,everyone,184: Emotion Is Not a Glitch,"Why Logic Needs Feeling, and Emotion Recognition Tech Gets It All Wrong",
163968003.183-the-algorithm-does-not-exist,2025-05-20T10:15:35.299Z,true,2025-05-20T10:15:35.388Z,2025-05-20T10:15:35.388Z,newsletter,everyone,183: The Algorithm Does Not Exist,Radical emancipation through collective struggle.,
163912040.182-the-pattern-is-the-story,2025-05-19T11:18:52.214Z,true,2025-05-19T11:18:52.307Z,2025-05-19T11:18:52.307Z,newsletter,everyone,182: The Pattern Is the Story,Why a Neurodivergent News Service Could Be the Antidote to Trumpian Fascism,
163846349.181-rule-by-trolling,2025-05-18T12:21:02.291Z,true,2025-05-18T12:21:02.371Z,2025-05-18T12:21:02.371Z,newsletter,everyone,181: Rule by Trolling,Strategic Shenanigans and the Spectacle of Power,
163639659.180-important-metaviews-update,2025-05-16T10:15:34.138Z,true,2025-05-16T10:15:34.233Z,2025-05-16T10:15:34.233Z,newsletter,everyone,180: Important Metaviews Update,Your participation is always required,
163558423.179-ginger-is-the-new-black,2025-05-15T10:08:17.656Z,true,2025-05-15T10:08:17.766Z,2025-05-15T10:08:17.766Z,newsletter,everyone,179: Ginger is the New Black?,How TikTok solidarity is melting racecraft while white supremacy clings to power,
163543144.178-artificial-intelligence-and-canadas,2025-05-14T11:00:44.024Z,true,2025-05-14T11:00:44.117Z,2025-05-14T11:00:44.117Z,newsletter,everyone,178: Artificial Intelligence and Canada's Future?,Remarks from Canada's Future Minister of AI,
